step,time,dt,kinetic_energy,elastic_energy,total_energy,normalized_total_energy,width,height,max_speed,rms_linear_mode,rms_bilinear_mode,rms_quadratic_mode,max_abs_coeff,particle_count,total_mass,stage_after_advect_particle_kinetic_energy,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,center_of_mass_x,center_of_mass_y,total_momentum_x,total_momentum_y,min_deformation_determinant,max_deformation_determinant,invalid_count,out_of_bounds_count
64974,0.6497399999996778,1.0000000000000001e-05,1242.002584906068,52.019596145345275,1294.0221810514133,0.13088567852577909,12.82009630276799,12.82009630276799,6.4484513838959234,0,0,0,0,576,144,1222.181449109645,2.7802158283257539e-05,3.8648000260365287e-10,4.5535890284923794e-11,32.000000000000021,31.999999999999975,1.2165823903842465e-12,2.2470914018413168e-13,0.97357375325836915,1.0279922050861967,0,0
66640,0.66639999999960198,1.0000000000000001e-05,1098.2584307792004,169.55285250060913,1267.8112832798095,0.12823454070925513,12.964780445377915,12.964780445377912,5.6977597592580604,0,0,0,0,576,144,1082.3960510849072,2.0516649473255207e-05,2.1046645280421158e-10,2.8000073700776129e-11,32.000000000000043,32.000000000000028,9.5345953354808444e-13,-1.3411494137471891e-13,1.0009064082487296,1.0464316822977284,0,0
68306,0.68305999999952616,1.0000000000000001e-05,722.76846869970802,474.52602408463969,1197.2944927843478,0.12110202157116781,13.082991092294243,13.082991092294233,4.2402394341856251,0,0,0,0,576,144,713.04869352790229,1.1105607782367462e-05,6.1667262107890371e-11,1.2453687699224028e-11,32.000000000000028,32.000000000000021,3.0719871091378081e-13,-5.4090065759737627e-13,1.0275737492323083,1.0570710444415801,0,0
69972,0.69971999999945034,1.0000000000000001e-05,308.28721794476922,780.72722262486468,1089.014440569634,0.11014988465075244,13.161073373164271,13.161073373164257,2.5429260791681947,0,0,0,0,576,144,303.98641603709876,4.3926366236679664e-06,9.6476282537945549e-12,4.5701333850946323e-12,32.000000000000028,32.000000000000028,1.2523315717771766e-13,-5.8592020124592636e-13,1.0475677184152579,1.0590970700195319,0,0
71638,0.71637999999937452,1.0000000000000001e-05,47.969956663866249,925.47710068524771,973.44705734911395,0.098460660470702996,13.191965199919679,13.191965199919661,1.0864212536502127,0,0,0,0,576,144,46.316713868028714,1.3233918937909219e-06,8.7568305227576138e-13,2.7225238795438273e-12,32.000000000000036,32.000000000000014,4.3992587350771828e-15,-8.72787953021259e-13,1.0433587139396316,1.069117965209013,0,0
73304,0.7330399999992987,1.0000000000000001e-05,37.044972104478241,846.16810704588977,883.213079150368,0.089333818878986893,13.175263169609121,13.175263169609103,1.6592533865799273,0,0,0,0,576,144,34.748039613507039,2.9061864204178571e-06,4.222959755110579e-12,1.7500446399270437e-11,32.000000000000071,32.000000000000028,-1.0985656828665924e-13,-9.6755936596082392e-13,1.0300342428065994,1.0723470829738635,0,0
74970,0.74969999999922288,1.0000000000000001e-05,236.74522595239839,597.20723147178796,833.95245742418638,0.084351284581163408,13.116434119980383,13.116434119980358,3.2615231684906956,0,0,0,0,576,144,231.46063683128244,8.5531655440528507e-06,3.6578320411986446e-11,2.2756690776606993e-11,32.000000000000021,32.000000000000092,-2.4369395390522186e-13,-1.1658451981588769e-12,1.0133665520617954,1.0689201333327445,0,0
76636,0.76635999999914706,1.0000000000000001e-05,511.51634801620759,307.24354474804835,818.75989276425594,0.082814611436622651,13.025508931931775,13.025508931931746,4.3627773358573867,0,0,0,0,576,144,502.71461707504909,1.357269313758733e-05,9.2108999503555106e-11,2.638414614972654e-11,32,32.000000000000028,-4.6984638402136625e-13,-1.2831957718617559e-12,0.99574019404085523,1.0567732845611986,0,0
78302,0.78301999999907124,1.0000000000000001e-05,708.9313527082395,107.34582336108096,816.27717606932049,0.082563493593387632,12.915514256361607,12.915514256361579,4.8714453595110587,0,0,0,0,576,144,697.9087923725333,1.5830413682619145e-05,1.2530099868142771e-10,2.585344103315766e-11,32,32,-3.8247183198336643e-13,-1.343924971308752e-12,0.9792475802882441,1.038234233537036,0,0
79968,0.79967999999899542,1.0000000000000001e-05,734.56000592514192,69.830816235237023,804.390822160379,0.081361231747068066,12.800793221428261,12.800793221428233,4.7662750302887806,0,0,0,0,576,144,723.68033490068478,1.4523940215045939e-05,1.0547241968511434e-10,2.0987206232073159e-11,32.000000000000021,32.000000000000028,-4.5519144009631418e-13,-8.4210416417818124e-13,0.96550646492557013,1.0163424122651561,0,0
81634,0.8163399999989196,1.0000000000000001e-05,587.06033872305238,183.70173749181967,770.76207621487208,0.077959805329885307,12.695428410293747,12.695428410293719,4.0897143102726368,0,0,0,0,576,144,578.60566202830353,1.0392226849767115e-05,5.399918944851027e-11,1.3439003091202198e-11,32.000000000000036,32.000000000000007,-2.3014923300479495e-13,-7.9136697195281158e-13,0.9557234746227683,0.99423605634929746,0,0
83300,0.83299999999884378,1.0000000000000001e-05,345.34789745465133,370.11858947097721,715.46648692562849,0.07236685581975795,12.611795660185251,12.611795660185223,2.9434325797077898,0,0,0,0,576,144,340.43650226471624,5.398268718818199e-06,1.4570652580285539e-11,6.1631874302645008e-12,32.000000000000021,31.999999999999986,-1.6731060981101109e-13,-3.7669867225531561e-13,0.95074981213837051,0.97537826112493831,0,0
84966,0.84965999999876796,1.0000000000000001e-05,122.3330094238009,525.52103887434134,647.85404829814229,0.065528101402618999,12.559230739550753,12.559230739550724,1.6174863871550116,0,0,0,0,576,144,120.41227793485336,1.8859378050515382e-06,1.778380702261307e-12,2.1267500749730581e-12,32.000000000000028,32.000000000000036,3.7025937871248971e-14,-1.5482060078397808e-13,0.94938556263574203,0.96403130669264836,0,0
86632,0.86631999999869214,1.0000000000000001e-05,10.421320015137653,571.11632670352697,581.53764671866463,0.058820436460534732,12.542943978392472,12.542943978392444,0.52632066923924692,0,0,0,0,576,144,9.6228433824680302,3.5427858668050852e-07,6.2756658490169286e-14,9.3911523480138709e-13,32.000000000000014,32.000000000000028,5.3936022315070886e-14,-5.2600285238568745e-14,0.9478255540300885,0.96328261028541839,0,0
88298,0.88297999999861632,1.0000000000000001e-05,42.459049975555303,486.67707310130606,529.1361230768614,0.05352021125723154,12.563423350410972,12.563423350410943,1.6048774048002328,0,0,0,0,576,144,40.622646177461419,2.5759828328815643e-06,3.317843777650265e-12,1.1761161542615268e-11,32,32.000000000000036,1.3244960683778118e-13,-5.007105841059456e-14,0.94794187223793525,0.97277847768959047,0,0
89964,0.8996399999985405,1.0000000000000001e-05,182.36171001304476,315.25560873705319,497.61731875009798,0.050332197828220786,12.616424063073197,12.616424063073168,2.8333399449974528,0,0,0,0,576,144,178.1566849974644,6.5123238619726263e-06,2.1205181041609034e-11,1.7139665963335271e-11,32.000000000000043,32.000000000000064,1.4133139103478243e-13,-1.6653345369377348e-15,0.95230859833973225,0.98591129451617321,0,0
91630,0.91629999999846468,1.0000000000000001e-05,347.07064322327022,138.39144915639039,485.46209237966059,0.049102740501734715,12.693568481100186,12.693568481100158,3.6334291077271392,0,0,0,0,576,144,340.60455304995889,9.7068431691552198e-06,4.7111402155287671e-11,1.9917648926338165e-11,32.000000000000028,32.000000000000043,2.2859492077031973e-13,-2.3148150063434514e-13,0.96220338462562194,1.0008952150345063,0,0
93296,0.93295999999838886,1.0000000000000001e-05,448.90019926337413,34.144259172486287,483.04445843586041,0.048858205544146792,12.78353588582597,12.783535885825941,3.9130334171285659,0,0,0,0,576,144,441.51560134649139,1.0524132105303826e-05,5.5378678284943371e-11,1.8061716615929042e-11,32.000000000000028,32.000000000000028,2.1938006966593093e-13,-2.9876101592662963e-13,0.97623242312840475,1.0155923414556345,0,0
94962,0.94961999999831304,1.0000000000000001e-05,438.13756182391796,38.780235394397529,476.91779721831551,0.048238515849257334,12.873742887903813,12.873742887903784,3.6588120785127622,0,0,0,0,576,144,431.57699409980495,8.7017280526089995e-06,3.7860035550781203e-11,1.2632381229412118e-11,32.000000000000014,32.000000000000021,-1.7685852782278744e-13,-3.7148062403957738e-13,0.99255472474162676,1.0278817083107115,0,0
96628,0.96627999999823722,1.0000000000000001e-05,324.74853520503427,132.04993787806006,456.79847308309434,0.046203518745282744,12.952256244830743,12.952256244830714,2.9379570118037077,0,0,0,0,576,144,320.22849854262512,5.3968052982885139e-06,1.4562753713817489e-11,6.5485631176907206e-12,32.000000000000064,32.000000000000071,-4.6973536171890373e-13,-5.3579363168410055e-13,1.0090600340548279,1.03609931111015,0,0
98294,0.9829399999981614,1.0000000000000001e-05,168.51509290348466,252.87882758624025,421.39392048972491,0.04262247588764051,13.009524213267195,13.009524213267166,1.9157127561395921,0,0,0,0,576,144,166.22167648490947,2.3865883882342198e-06,2.8479020674272055e-12,2.4671745970914097e-12,32.000000000000043,32.000000000000028,-7.2108985449403917e-13,-7.3629990993140382e-13,1.0236102784202175,1.0393714861665619,0,0
99960,0.99959999999808558,1.0000000000000001e-05,44.495809885411887,334.26924633748041,378.76505622289233,0.038310719948639306,13.039543186543156,13.039543186543131,0.97651324542449691,0,0,0,0,576,144,43.661608946171945,8.451157121850623e-07,3.571102834910325e-13,1.1777825431514729e-12,32.000000000000043,32.00000000000005,-8.531092499097781e-13,-6.5723815279028486e-13,1.0288639765353043,1.0418399414733512,0,0
101626,1.0162599999981903,1.0000000000000001e-05,3.9763628046965471,337.01732000616943,340.99368281086595,0.034490281697830666,13.040301346856385,13.04030134685636,0.5753757408422302,0,0,0,0,576,144,3.3681147171062804,4.227952611150102e-07,8.9377916410654825e-14,3.8212534441784419e-12,32.000000000000028,32.00000000000005,-9.2233165549515661e-13,-6.7204575238122288e-13,1.0219678913171266,1.0447911929880951,0,0
103292,1.0329199999982994,1.0000000000000001e-05,51.803192968118651,264.80616226280927,316.60935523092792,0.032023894871213938,13.013605137303646,13.013605137303625,1.6538984838789665,0,0,0,0,576,144,50.330539207155844,2.3410767063043931e-06,2.7403200724005124e-12,7.8402913348792829e-12,32.000000000000043,32.000000000000057,-9.3208774032405017e-13,-7.5395245602294381e-13,1.0123457758900769,1.0425453253713377,0,0
104958,1.0495799999984086,1.0000000000000001e-05,149.76437658752255,156.75791809612363,306.52229468364618,0.031003625061782336,12.964486173872356,12.964486173872334,2.4622964320341918,0,0,0,0,576,144,146.93949525425089,4.4716822027404943e-06,9.9979708611530387e-12,9.7979634509761119e-12,32.000000000000028,32.00000000000005,-8.9245277834493209e-13,-8.3516527027427401e-13,1.0014851776960023,1.036628890999882,0,0
